title,category,slug,nco_code,median_pay_monthly,median_pay_annual,num_jobs,outlook_pct,outlook_desc,female_pct,urban_pct,rural_pct,education_summary,wage_sample_size
Database and Network Professionals,Professionals,database-and-network-professionals,252,,,94,25,Very Fast Growth,29.8,100.0,0.0,"{""Post graduate with technical degree"": 74.5, ""Technical diploma/certificate"": 4.3, ""Level 13"": 13.8, ""Graduate with technical degree"": 4.3, ""Graduate"": 2.1, ""Middle"": 1.1}",0
Personal Care Workers in Health Services,Service & Sales,personal-care-workers-in-health-services,532,,,89,11,Fast Growth,48.3,100.0,0.0,"{""Post graduate with technical degree"": 13.5, ""Technical diploma/certificate"": 21.3, ""Graduate"": 23.6, ""Higher secondary"": 22.5, ""Graduate with technical degree"": 6.7, ""Secondary"": 4.5, ""Not literate"": 5.6, ""Middle"": 2.2}",0
Telecommunications and Broadcasting Technicians,Technicians & Associates,telecommunications-and-broadcasting-technicians,352,,,88,15,Very Fast Growth,8.0,100.0,0.0,"{""Higher secondary"": 10.2, ""Post graduate with technical degree"": 37.5, ""Technical diploma/certificate"": 20.5, ""Graduate"": 13.6, ""Graduate with technical degree"": 10.2, ""Secondary"": 5.7, ""Middle"": 1.1, ""Level 13"": 1.1}",0
Other Teaching Professionals,Professionals,other-teaching-professionals,224,,,85,18,Very Fast Growth,21.2,100.0,0.0,"{""Level 13"": 3.5, ""Technical diploma/certificate"": 27.1, ""Post graduate with technical degree"": 37.6, ""Higher secondary"": 3.5, ""Graduate with technical degree"": 16.5, ""Graduate"": 10.6, ""Secondary"": 1.2}",0
Information and Communications Technology Services Managers,Managers,information-and-communications-technology-services-managers,133,,,84,21,Very Fast Growth,20.2,100.0,0.0,"{""Graduate"": 2.4, ""Graduate with technical degree"": 3.6, ""Post graduate with technical degree"": 47.6, ""Technical diploma/certificate"": 8.3, ""Level 13"": 38.1}",0
Mining and Mineral Processing Plant Operators,Machine Operators,mining-and-mineral-processing-plant-operators,811,,,81,7,Moderate Growth,8.6,100.0,0.0,"{""Technical diploma/certificate"": 17.3, ""Higher secondary"": 25.9, ""Middle"": 3.7, ""Graduate"": 11.1, ""Post graduate with technical degree"": 11.1, ""Not literate"": 9.9, ""Secondary"": 17.3, ""Graduate with technical degree"": 3.7}",0
Locomotive Engine Drivers and Related Workers,Machine Operators,locomotive-engine-drivers-and-related-workers,831,,,81,7,Moderate Growth,1.2,100.0,0.0,"{""Technical diploma/certificate"": 11.1, ""Graduate with technical degree"": 13.6, ""Higher secondary"": 14.8, ""Level 13"": 7.4, ""Not literate"": 2.5, ""Post graduate with technical degree"": 30.9, ""Secondary"": 2.5, ""Graduate"": 16.0, ""Middle"": 1.2}",0
Secretaries,Clerical Support,secretaries,412,,,78,8,Fast Growth,16.7,100.0,0.0,"{""Secondary"": 2.6, ""Post graduate with technical degree"": 52.6, ""Technical diploma/certificate"": 11.5, ""Graduate"": 5.1, ""Level 13"": 19.2, ""Higher secondary"": 5.1, ""Graduate with technical degree"": 3.8}",0
"Subsistence Fishers, Hunters and Gatherers",Agriculture & Fishery,"subsistence-fishers,-hunters-and-gatherers",634,6250,75000,76,-2,Slow Decline,89.5,100.0,0.0,"{""Not literate"": 34.2, ""Secondary"": 19.7, ""Technical diploma/certificate"": 2.6, ""Higher secondary"": 19.7, ""Middle"": 13.2, ""Graduate"": 10.5}",1
Sports and Fitness Workers,Technicians & Associates,sports-and-fitness-workers,342,,,76,15,Very Fast Growth,23.7,100.0,0.0,"{""Post graduate with technical degree"": 36.8, ""Technical diploma/certificate"": 26.3, ""Level 13"": 13.2, ""Graduate with technical degree"": 6.6, ""Graduate"": 7.9, ""Higher secondary"": 7.9, ""Not literate"": 1.3}",0
"Legal, Social and Religious Associate Professionals",Technicians & Associates,"legal,-social-and-religious-associate-professionals",341,,,71,15,Very Fast Growth,8.5,100.0,0.0,"{""Graduate"": 12.7, ""Primary"": 1.4, ""Higher secondary"": 19.7, ""Post graduate with technical degree"": 26.8, ""Secondary"": 5.6, ""Technical diploma/certificate"": 12.7, ""Not literate"": 1.4, ""Level 13"": 9.9, ""Graduate with technical degree"": 4.2, ""Middle"": 5.6}",0
"Writers, Journalists and Linguists",Professionals,"writers,-journalists-and-linguists",264,,,67,25,Very Fast Growth,13.4,100.0,0.0,"{""Post graduate with technical degree"": 55.2, ""Technical diploma/certificate"": 11.9, ""Graduate"": 4.5, ""Level 13"": 22.4, ""Higher secondary"": 3.0, ""Graduate with technical degree"": 3.0}",0
Legal Professionals,Professionals,legal-professionals,232,,,58,18,Very Fast Growth,44.8,100.0,0.0,"{""Post graduate with technical degree"": 37.9, ""Technical diploma/certificate"": 6.9, ""Graduate with technical degree"": 13.8, ""Level 13"": 36.2, ""Graduate"": 1.7, ""Secondary"": 1.7, ""Higher secondary"": 1.7}",0
"Computing Equipment, Furniture and Sports Equipment Controllers",Elementary,"computing-equipment,-furniture-and-sports-equipment-controllers",951,12500,150000,56,5,Moderate Growth,16.1,100.0,0.0,"{""Higher secondary"": 30.4, ""Secondary"": 19.6, ""Middle"": 5.4, ""Graduate"": 14.3, ""Not literate"": 16.1, ""Technical diploma/certificate"": 7.1, ""Level 13"": 1.8, ""Post graduate with technical degree"": 3.6, ""Graduate with technical degree"": 1.8}",3
Wood Products Plant and Machine Operators,Machine Operators,wood-products-plant-and-machine-operators,817,,,56,7,Moderate Growth,8.9,100.0,0.0,"{""Middle"": 1.8, ""Technical diploma/certificate"": 16.1, ""Secondary"": 16.1, ""Graduate"": 23.2, ""Higher secondary"": 28.6, ""Not literate"": 8.9, ""Graduate with technical degree"": 3.6, ""Post graduate with technical degree"": 1.8}",0
Primary and Pre-Primary Education Teachers,Professionals,primary-and-pre-primary-education-teachers,223,,,44,18,Very Fast Growth,25.0,100.0,0.0,"{""Technical diploma/certificate"": 6.8, ""Higher secondary"": 9.1, ""Secondary"": 2.3, ""Post graduate with technical degree"": 59.1, ""Level 13"": 15.9, ""Graduate"": 2.3, ""Graduate with technical degree"": 2.3, ""Not literate"": 2.3}",0
Veterinary Technicians and Assistants,Technicians & Associates,veterinary-technicians-and-assistants,324,,,41,15,Very Fast Growth,17.1,100.0,0.0,"{""Technical diploma/certificate"": 26.8, ""Higher secondary"": 24.4, ""Post graduate with technical degree"": 29.3, ""Graduate"": 7.3, ""Graduate with technical degree"": 4.9, ""Level 13"": 7.3}",0
Production and Operations Managers,Managers,production-and-operations-managers,131,,,35,13,Fast Growth,11.4,100.0,0.0,"{""Higher secondary"": 14.3, ""Middle"": 14.3, ""Technical diploma/certificate"": 14.3, ""Secondary"": 5.7, ""Post graduate with technical degree"": 20.0, ""Not literate"": 2.9, ""Level 13"": 22.9, ""Graduate"": 5.7}",0
Ships' Deck Crews and Related Workers,Machine Operators,ships'-deck-crews-and-related-workers,835,,,33,7,Moderate Growth,0.0,100.0,0.0,"{""Not literate"": 18.2, ""Higher secondary"": 24.2, ""Technical diploma/certificate"": 27.3, ""Graduate with technical degree"": 9.1, ""Post graduate with technical degree"": 6.1, ""Secondary"": 6.1, ""Graduate"": 6.1, ""Middle"": 3.0}",0
Librarians and Related Information Professionals,Professionals,librarians-and-related-information-professionals,262,,,33,18,Very Fast Growth,48.5,100.0,0.0,"{""Technical diploma/certificate"": 18.2, ""Post graduate with technical degree"": 45.5, ""Level 13"": 30.3, ""Graduate with technical degree"": 3.0, ""Graduate"": 3.0}",0
"Physicists, Chemists and Related Professionals",Professionals,"physicists,-chemists-and-related-professionals",211,,,33,18,Very Fast Growth,18.2,100.0,0.0,"{""Level 13"": 36.4, ""Post graduate with technical degree"": 57.6, ""Graduate with technical degree"": 6.1}",0
Life Science Technicians,Technicians & Associates,life-science-technicians,314,,,28,15,Very Fast Growth,32.1,100.0,0.0,"{""Post graduate with technical degree"": 50.0, ""Level 13"": 14.3, ""Graduate with technical degree"": 14.3, ""Technical diploma/certificate"": 14.3, ""Graduate"": 7.1}",0
Marine and Flight Engineers,Technicians & Associates,marine-and-flight-engineers,315,,,21,15,Very Fast Growth,9.5,100.0,0.0,"{""Post graduate with technical degree"": 71.4, ""Graduate with technical degree"": 14.3, ""Level 13"": 4.8, ""Technical diploma/certificate"": 9.5}",0
Traditional and Complementary Medicine Professionals,Technicians & Associates,traditional-and-complementary-medicine-professionals,323,,,20,15,Very Fast Growth,70.0,100.0,0.0,"{""Higher secondary"": 15.0, ""Graduate"": 30.0, ""Post graduate with technical degree"": 25.0, ""Level 13"": 15.0, ""Technical diploma/certificate"": 15.0}",0
Life Science Professionals,Professionals,life-science-professionals,213,,,15,18,Very Fast Growth,13.3,100.0,0.0,"{""Post graduate with technical degree"": 33.3, ""Level 13"": 46.7, ""Technical diploma/certificate"": 13.3, ""Graduate with technical degree"": 6.7}",0
"Mathematicians, Statisticians and Actuaries",Professionals,"mathematicians,-statisticians-and-actuaries",212,,,3,15,Very Fast Growth,33.3,100.0,0.0,"{""Level 13"": 66.7, ""Higher secondary"": 33.3}",0
