title,category,slug,nco_code,median_pay_monthly,median_pay_annual,num_jobs,outlook_pct,outlook_desc,female_pct,urban_pct,rural_pct,education_summary,wage_sample_size
Subsistence Livestock Farmers,Agriculture & Fishery,subsistence-livestock-farmers,632,6875,82500,462,-2,Slow Decline,86.1,100.0,0.0,"{""Graduate"": 7.8, ""Secondary"": 20.1, ""Technical diploma/certificate"": 4.3, ""Not literate"": 41.6, ""Higher secondary"": 17.7, ""Graduate with technical degree"": 1.1, ""Middle"": 5.4, ""Post graduate with technical degree"": 1.5, ""Level 13"": 0.4}",8
Library and Filing Clerks,Clerical Support,library-and-filing-clerks,431,,,460,8,Fast Growth,23.3,100.0,0.0,"{""Post graduate with technical degree"": 55.0, ""Level 13"": 16.1, ""Graduate"": 6.1, ""Higher secondary"": 3.7, ""Technical diploma/certificate"": 15.7, ""Middle"": 0.4, ""Graduate with technical degree"": 2.4, ""Secondary"": 0.7}",0
"Economists, Accountants and Auditors",Professionals,"economists,-accountants-and-auditors",231,,,452,18,Very Fast Growth,43.1,100.0,0.0,"{""Level 13"": 83.4, ""Post graduate with technical degree"": 15.3, ""Technical diploma/certificate"": 0.7, ""Graduate"": 0.2, ""Graduate with technical degree"": 0.4}",0
"Fishery Workers, Hunters and Trappers",Agriculture & Fishery,"fishery-workers,-hunters-and-trappers",622,8750,105000,430,-2,Slow Decline,10.5,100.0,0.0,"{""Secondary"": 16.5, ""Not literate"": 20.9, ""Graduate"": 11.2, ""Post graduate with technical degree"": 5.8, ""Technical diploma/certificate"": 7.2, ""Higher secondary"": 26.5, ""Middle"": 10.0, ""Level 13"": 0.7, ""Graduate with technical degree"": 1.2}",5
Subsistence Mixed Crop and Livestock Farmers,Agriculture & Fishery,subsistence-mixed-crop-and-livestock-farmers,633,6000,72000,425,-2,Slow Decline,64.9,100.0,0.0,"{""Not literate"": 30.6, ""Secondary"": 20.7, ""Middle"": 5.2, ""Graduate"": 10.6, ""Higher secondary"": 21.2, ""Technical diploma/certificate"": 7.5, ""Graduate with technical degree"": 0.7, ""Post graduate with technical degree"": 3.1, ""Literate but no formal schooling"": 0.2, ""Level 13"": 0.2}",5
Building Finishers and Related Trades Workers,Craft & Trades,building-finishers-and-related-trades-workers,713,17500,210000,412,9,Fast Growth,2.2,100.0,0.0,"{""Higher secondary"": 32.5, ""Middle"": 2.2, ""Not literate"": 8.7, ""Technical diploma/certificate"": 12.9, ""Secondary"": 14.8, ""Graduate"": 22.6, ""Graduate with technical degree"": 1.9, ""Post graduate with technical degree"": 4.1, ""Level 13"": 0.2}",7
Packagers and Hand Packers,Elementary,packagers-and-hand-packers,952,10625,127500,403,5,Moderate Growth,14.6,100.0,0.0,"{""Not literate"": 26.1, ""Technical diploma/certificate"": 6.2, ""Post graduate with technical degree"": 3.5, ""Higher secondary"": 27.0, ""Middle"": 5.2, ""Graduate"": 10.9, ""Secondary"": 19.9, ""Graduate with technical degree"": 1.0, ""Level 13"": 0.2}",2
Finance and Accounting Clerks,Clerical Support,finance-and-accounting-clerks,421,,,384,8,Fast Growth,21.1,100.0,0.0,"{""Technical diploma/certificate"": 20.3, ""Level 13"": 12.2, ""Higher secondary"": 5.5, ""Post graduate with technical degree"": 49.2, ""Graduate with technical degree"": 2.6, ""Secondary"": 1.8, ""Graduate"": 8.3}",0
"Wood Treaters, Cabinet-makers and Related Trades Workers",Craft & Trades,"wood-treaters,-cabinet-makers-and-related-trades-workers",742,,,382,9,Fast Growth,0.5,100.0,0.0,"{""Post graduate with technical degree"": 21.5, ""Graduate"": 20.4, ""Secondary"": 4.7, ""Technical diploma/certificate"": 22.3, ""Higher secondary"": 17.8, ""Graduate with technical degree"": 7.3, ""Level 13"": 2.9, ""Not literate"": 1.6, ""Middle"": 1.6}",0
"Sales, Marketing and Development Managers",Managers,"sales,-marketing-and-development-managers",122,18750,225000,375,13,Fast Growth,12.5,100.0,0.0,"{""Post graduate with technical degree"": 50.1, ""Level 13"": 27.7, ""Technical diploma/certificate"": 8.3, ""Graduate with technical degree"": 2.4, ""Higher secondary"": 5.1, ""Graduate"": 4.3, ""Secondary"": 1.3, ""Middle"": 0.8}",1
